dice,iou,accuracy,hd95,sensitivity,precision,method,image,tumour_type,seconds
0.9523560209424083,0.9090454772613693,0.9993057250976562,2.23606797749979,0.9573684210526315,0.9473958333333333,proposed,brisc2025_test_00362_me_ax_t1.jpg,meningioma,0.06210517883300781
0.8914158547507259,0.8041030160595378,0.9847373962402344,33.43902050278776,0.8157254259176476,0.9825894459734354,proposed,brisc2025_test_00493_me_sa_t1.jpg,meningioma,0.06373786926269531
0.9654838709677419,0.9332709697536639,0.9991836547851562,2.8284271247461903,0.9651725249919381,0.9657954178767344,proposed,brisc2025_test_00284_me_ax_t1.jpg,meningioma,0.06251811981201172
0.9012987012987013,0.8203309692671394,0.998260498046875,7.211102550927978,0.961218836565097,0.8484107579462102,proposed,brisc2025_test_00437_me_co_t1.jpg,meningioma,0.06042003631591797
0.9692964196502915,0.9404220943148541,0.9977493286132812,3.605551275463989,0.9593119077049855,0.9794909549852756,proposed,brisc2025_test_00323_me_ax_t1.jpg,meningioma,0.0597996711730957
0.8886792452830189,0.799660441426146,0.9990997314453125,4.116950344336776,0.8410714285714286,0.942,proposed,brisc2025_test_00867_pi_co_t1.jpg,pituitary,0.061913251876831055
0.9502925000875749,0.9052926650203564,0.9945869445800781,7.810249675906654,0.9886297376093295,0.9148175625547986,proposed,brisc2025_test_00295_me_ax_t1.jpg,meningioma,0.06338310241699219
0.9831991989021993,0.9669536037350452,0.9982719421386719,2.23606797749979,0.9840386043058649,0.9823612243385459,proposed,brisc2025_test_00356_me_ax_t1.jpg,meningioma,0.06294393539428711
0.9337620578778135,0.8757539203860072,0.9996070861816406,3.9605551275463897,0.9654255319148937,0.9041095890410958,proposed,brisc2025_test_00957_pi_sa_t1.jpg,pituitary,0.059746742248535156
0.9108642644269845,0.836318407960199,0.9987449645996094,6.082762530298219,0.9481105470953187,0.8764337851929093,proposed,brisc2025_test_00739_pi_ax_t1.jpg,pituitary,0.06335210800170898
0.8648449622596849,0.7618738705342663,0.9803962707519531,24.716383127919,0.9449425287356322,0.7972651893516947,proposed,brisc2025_test_00155_gl_co_t1.jpg,glioma,0.06229996681213379
0.9192795196797865,0.8506172839506173,0.9990768432617188,5.54817847254922,0.9849892780557541,0.8617886178861789,proposed,brisc2025_test_00733_pi_ax_t1.jpg,pituitary,0.061779022216796875
0.9473309608540925,0.8999323867478025,0.9971771240234375,9.219544457292887,0.9849045434364363,0.9125188536953243,proposed,brisc2025_test_00546_me_sa_t1.jpg,meningioma,0.05897188186645508
0.9385581129922008,0.8842293906810036,0.9987678527832031,4.152989390993067,0.9086556169429097,0.9704956726986624,proposed,brisc2025_test_00934_pi_sa_t1.jpg,pituitary,0.06202292442321777
0.8568838755161647,0.7496035242290748,0.9891586303710938,28.23098728841827,0.9172056921086675,0.804006804006804,proposed,brisc2025_test_00462_me_co_t1.jpg,meningioma,0.06125688552856445
0.8475734791524265,0.7354685646500593,0.9974479675292969,11.313708498984761,0.7591836734693878,0.9592573491490459,proposed,brisc2025_test_00126_gl_co_t1.jpg,glioma,0.0625002384185791
0.9380335124881441,0.8832986007740399,0.998504638671875,5.0990195135927845,0.9026467903863705,0.9763079960513327,proposed,brisc2025_test_00167_gl_sa_t1.jpg,glioma,0.06325125694274902
0.6780669144981413,0.5129358830146231,0.9983482360839844,7.810249675906654,0.7487684729064039,0.6195652173913043,proposed,brisc2025_test_00929_pi_sa_t1.jpg,pituitary,0.060630083084106445
0.7389073347419257,0.5859262805169938,0.9967002868652344,13.436830049631599,0.8901818181818182,0.631578947368421,proposed,brisc2025_test_00228_gl_sa_t1.jpg,glioma,0.06348371505737305
0.9444444444444444,0.8947368421052632,0.9991226196289062,2.23606797749979,0.9135514018691588,0.9775,proposed,brisc2025_test_00076_gl_ax_t1.jpg,glioma,0.06247210502624512
